t,p,q,d,b,a
2024-02-15,17150,97300.0,-67500.0,82400.0,14900.0
2024-02-15,17200,425900.0,-218500.0,322200.0,103700.0
2024-02-15,17250,290200.0,-54600.0,172400.0,117800.0
2024-02-15,17300,203100.0,-29300.0,116200.0,86900.0
2024-02-15,17350,70100.0,2700.0,33700.0,36400.0
2024-02-15,17400,56600.0,8200.0,24200.0,32400.0
2024-02-15,17450,7200.0,7200.0,0.0,7200.0
2024-02-16,17150,57800.0,-57800.0,57800.0,0.0
2024-02-16,17200,364400.0,-207400.0,285900.0,78500.0
2024-02-16,17250,273900.0,-50700.0,162300.0,111600.0
2024-02-16,17300,225400.0,4400.0,110500.0,114900.0
2024-02-16,17350,111800.0,-41600.0,76700.0,35100.0
2024-02-16,17400,91900.0,-2900.0,47400.0,44500.0
2024-02-16,17450,63000.0,-42600.0,52800.0,10200.0
2024-02-16,17500,66600.0,40800.0,12900.0,53700.0
2024-02-16,17550,9700.0,9700.0,0.0,9700.0
2024-02-19,16900,18800.0,-18800.0,18800.0,0.0
2024-02-19,16950,203100.0,-114700.0,158900.0,44200.0
2024-02-19,17000,350800.0,-183200.0,267000.0,83800.0
2024-02-19,17050,307500.0,-154100.0,230800.0,76700.0
2024-02-19,17100,241600.0,-42200.0,141900.0,99700.0
2024-02-19,17150,266000.0,-87000.0,176500.0,89500.0
2024-02-19,17200,139200.0,21000.0,59100.0,80100.0
2024-02-19,17250,24500.0,-15700.0,20100.0,4400.0
2024-02-19,17300,7700.0,-7700.0,7700.0,0.0
2024-02-19,17350,12500.0,-12500.0,12500.0,0.0
2024-02-20,17300,120300.0,-14900.0,67600.0,52700.0
2024-02-20,17350,309300.0,94300.0,107500.0,201800.0
2024-02-20,17400,161100.0,4100.0,78500.0,82600.0
2024-02-20,17450,329200.0,-47600.0,188400.0,140800.0
2024-02-20,17500,294700.0,121300.0,86700.0,208000.0
2024-02-20,17550,168800.0,4600.0,82100.0,86700.0
2024-02-20,17600,281000.0,-22400.0,151700.0,129300.0
2024-02-20,17650,360500.0,-186100.0,273300.0,87200.0
2024-02-20,17700,510400.0,190600.0,159900.0,350500.0
2024-02-20,17750,83300.0,83300.0,0.0,83300.0
2024-02-21,17200,35000.0,-35000.0,35000.0,0.0
2024-02-21,17250,186200.0,-60400.0,123300.0,62900.0
2024-02-21,17300,264000.0,-19800.0,141900.0,122100.0
2024-02-21,17350,172700.0,-61700.0,117200.0,55500.0
2024-02-21,17400,155700.0,-53300.0,104500.0,51200.0
2024-02-21,17450,39000.0,-4800.0,21900.0,17100.0
2024-02-21,17500,6200.0,6200.0,0.0,6200.0
2024-02-22,17100,57500.0,-57500.0,57500.0,0.0
2024-02-22,17150,327200.0,-97000.0,212100.0,115100.0
2024-02-22,17200,334200.0,-219000.0,276600.0,57600.0
2024-02-22,17250,212500.0,-54500.0,133500.0,79000.0
2024-02-22,17300,108000.0,-3400.0,55700.0,52300.0
2024-02-22,17350,3100.0,-2300.0,2700.0,400.0
2024-02-22,17400,6800.0,1600.0,2600.0,4200.0
2024-02-22,17450,800.0,800.0,0.0,800.0
2024-02-22,17500,2200.0,2200.0,0.0,2200.0
2024-02-23,16150,600.0,-600.0,600.0,0.0
2024-02-23,16200,3100.0,-3100.0,3100.0,0.0
2024-02-23,16250,1400.0,-1000.0,1200.0,200.0
2024-02-23,16300,1300.0,-1300.0,1300.0,0.0
2024-02-23,16400,5900.0,-5900.0,5900.0,0.0
2024-02-23,16500,65300.0,-58100.0,61700.0,3600.0
2024-02-23,16550,66200.0,-57200.0,61700.0,4500.0
2024-02-23,16600,34000.0,-10000.0,22000.0,12000.0
2024-02-23,16650,12700.0,-4700.0,8700.0,4000.0
2024-02-23,16700,74200.0,-47400.0,60800.0,13400.0
2024-02-23,16750,25400.0,-9000.0,17200.0,8200.0
2024-02-23,16800,180300.0,-56700.0,118500.0,61800.0
2024-02-23,16850,84500.0,-66700.0,75600.0,8900.0
2024-02-23,16900,142100.0,-31100.0,86600.0,55500.0
2024-02-23,16950,79900.0,-31100.0,55500.0,24400.0
2024-02-23,17000,126600.0,-126600.0,126600.0,0.0
2024-02-23,17050,197800.0,-197800.0,197800.0,0.0
2024-02-23,17100,401200.0,-292600.0,346900.0,54300.0
2024-02-23,17150,531500.0,-167900.0,349700.0,181800.0
2024-02-23,17200,264400.0,145600.0,59400.0,205000.0
2024-02-23,17250,84800.0,67000.0,8900.0,75900.0
2024-02-23,17300,100.0,100.0,0.0,100.0
2024-02-26,16500,11100.0,-11100.0,11100.0,0.0
2024-02-26,16550,314000.0,-35400.0,174700.0,139300.0
2024-02-26,16600,461300.0,177300.0,142000.0,319300.0
2024-02-26,16650,42100.0,39100.0,1500.0,40600.0
2024-02-26,16700,105100.0,105100.0,0.0,105100.0
2024-02-26,16750,25000.0,25000.0,0.0,25000.0
2024-02-26,16800,22200.0,19800.0,1200.0,21000.0
2024-02-26,16850,24200.0,7400.0,8400.0,15800.0
2024-02-26,16900,87600.0,16000.0,35800.0,51800.0
2024-02-26,16950,117800.0,87600.0,15100.0,102700.0
2024-02-26,17000,130000.0,126000.0,2000.0,128000.0
2024-02-26,17050,46100.0,16100.0,15000.0,31100.0
2024-02-26,17100,86300.0,36700.0,24800.0,61500.0
2024-02-26,17150,131200.0,47200.0,42000.0,89200.0
2024-02-26,17200,340600.0,241600.0,49500.0,291100.0
2024-02-26,17250,7100.0,7100.0,0.0,7100.0
2024-02-27,17150,4700.0,-4700.0,4700.0,0.0
2024-02-27,17200,109800.0,-87800.0,98800.0,11000.0
2024-02-27,17250,147700.0,2100.0,72800.0,74900.0
2024-02-27,17300,332600.0,16200.0,158200.0,174400.0
2024-02-27,17350,295400.0,-15400.0,155400.0,140000.0
2024-02-27,17400,173000.0,101200.0,35900.0,137100.0
2024-02-27,17450,62300.0,-4900.0,33600.0,28700.0
2024-02-27,17500,166800.0,29000.0,68900.0,97900.0
2024-02-27,17550,65700.0,53900.0,5900.0,59800.0
2024-02-27,17600,141100.0,23900.0,58600.0,82500.0
2024-02-27,17650,51800.0,50600.0,600.0,51200.0
2024-02-28,17100,12400.0,-12400.0,12400.0,0.0
2024-02-28,17150,55400.0,-3600.0,29500.0,25900.0
2024-02-28,17200,178300.0,-114900.0,146600.0,31700.0
2024-02-28,17250,187600.0,73200.0,57200.0,130400.0
2024-02-28,17300,134200.0,-86400.0,110300.0,23900.0
2024-02-28,17350,95500.0,41100.0,27200.0,68300.0
2024-02-28,17400,215900.0,-30100.0,123000.0,92900.0
2024-02-28,17450,160400.0,24400.0,68000.0,92400.0
2024-02-28,17500,25100.0,25100.0,0.0,25100.0
2024-02-29,17300,26400.0,-26400.0,26400.0,0.0
2024-02-29,17350,440800.0,-290800.0,365800.0,75000.0
2024-02-29,17400,452000.0,42800.0,204600.0,247400.0
2024-02-29,17450,344600.0,90000.0,127300.0,217300.0
2024-02-29,17500,425500.0,-80700.0,253100.0,172400.0
2024-02-29,17550,236900.0,56300.0,90300.0,146600.0
2024-02-29,17600,348300.0,213500.0,67400.0,280900.0
2024-02-29,17650,77600.0,31000.0,23300.0,54300.0
2024-02-29,17700,148300.0,116900.0,15700.0,132600.0
2024-02-29,17750,96700.0,-35900.0,66300.0,30400.0
2024-02-29,17800,99300.0,99300.0,0.0,99300.0
2024-03-01,17500,50200.0,23800.0,13200.0,37000.0
2024-03-01,17600,2000.0,2000.0,0.0,2000.0
2024-03-01,17650,82000.0,36200.0,22900.0,59100.0
2024-03-01,17700,161000.0,-30600.0,95800.0,65200.0
2024-03-01,17750,261600.0,185600.0,38000.0,223600.0
2024-03-01,17800,201900.0,200700.0,600.0,201300.0
2024-03-01,17850,94800.0,94600.0,100.0,94700.0
2024-03-01,17900,86600.0,86200.0,200.0,86400.0
2024-03-01,17950,66400.0,63800.0,1300.0,65100.0
2024-03-01,18000,421600.0,195800.0,112900.0,308700.0
2024-03-01,18050,551300.0,-329300.0,440300.0,111000.0
2024-03-01,18100,535900.0,47100.0,244400.0,291500.0
2024-03-01,18150,421500.0,193700.0,113900.0,307600.0
2024-03-01,18200,174300.0,49500.0,62400.0,111900.0
2024-03-01,18250,50700.0,22500.0,14100.0,36600.0
2024-03-01,18300,49800.0,-21200.0,35500.0,14300.0
2024-03-01,18350,48900.0,-4100.0,26500.0,22400.0
2024-03-01,18400,88800.0,20600.0,34100.0,54700.0
2024-03-01,18450,69800.0,10400.0,29700.0,40100.0
2024-03-01,18500,12200.0,12200.0,0.0,12200.0
2024-03-04,17800,27700.0,-27700.0,27700.0,0.0
2024-03-04,17850,146200.0,-32800.0,89500.0,56700.0
2024-03-04,17900,81400.0,30400.0,25500.0,55900.0
2024-03-04,17950,47000.0,1200.0,22900.0,24100.0
2024-03-04,18000,166000.0,-137800.0,151900.0,14100.0
2024-03-04,18050,184900.0,-68700.0,126800.0,58100.0
2024-03-04,18100,547300.0,-294300.0,420800.0,126500.0
2024-03-04,18150,322600.0,-39400.0,181000.0,141600.0
2024-03-04,18200,74000.0,52800.0,10600.0,63400.0
2024-03-04,18250,55600.0,-55600.0,55600.0,0.0
2024-03-04,18300,41800.0,-3600.0,22700.0,19100.0
2024-03-04,18350,24700.0,-5700.0,15200.0,9500.0
2024-03-04,18400,25300.0,9500.0,7900.0,17400.0
2024-03-04,18450,28300.0,28300.0,0.0,28300.0
2024-03-05,17700,37400.0,-37400.0,37400.0,0.0
2024-03-05,17750,187700.0,-161300.0,174500.0,13200.0
2024-03-05,17800,505100.0,-235500.0,370300.0,134800.0
2024-03-05,17850,243600.0,-81800.0,162700.0,80900.0
2024-03-05,17900,134900.0,32700.0,51100.0,83800.0
2024-03-05,17950,125300.0,-1700.0,63500.0,61800.0
2024-03-05,18000,195900.0,15700.0,90100.0,105800.0
2024-03-05,18050,105000.0,-24400.0,64700.0,40300.0
2024-03-05,18100,110200.0,43800.0,33200.0,77000.0
2024-03-05,18150,71000.0,46200.0,12400.0,58600.0
2024-03-05,18200,111600.0,41600.0,35000.0,76600.0
2024-03-05,18250,13700.0,13700.0,0.0,13700.0
2024-03-05,18300,82200.0,82200.0,0.0,82200.0
2024-03-05,18350,1500.0,1500.0,0.0,1500.0
2024-03-05,18400,49500.0,19700.0,14900.0,34600.0
2024-03-05,18450,50400.0,-6400.0,28400.0,22000.0
2024-03-05,18500,66000.0,49600.0,8200.0,57800.0
2024-03-05,18550,106700.0,102300.0,2200.0,104500.0
2024-03-05,18600,157400.0,125400.0,16000.0,141400.0
2024-03-05,18650,136600.0,-35000.0,85800.0,50800.0
2024-03-05,18700,167000.0,97800.0,34600.0,132400.0
2024-03-05,18750,37500.0,37500.0,0.0,37500.0
2024-03-06,18600,24300.0,-24300.0,24300.0,0.0
2024-03-06,18650,75900.0,-23900.0,49900.0,26000.0
2024-03-06,18700,88400.0,8800.0,39800.0,48600.0
2024-03-06,18750,68500.0,-53900.0,61200.0,7300.0
2024-03-06,18800,323300.0,-120700.0,222000.0,101300.0
2024-03-06,18850,233800.0,-65800.0,149800.0,84000.0
2024-03-06,18900,320100.0,-1700.0,160900.0,159200.0
2024-03-06,18950,309100.0,-19700.0,164400.0,144700.0
2024-03-06,19000,697400.0,237600.0,229900.0,467500.0
2024-03-06,19050,293900.0,-4300.0,149100.0,144800.0
2024-03-06,19100,259300.0,-19300.0,139300.0,120000.0
2024-03-06,19150,361000.0,-230600.0,295800.0,65200.0
2024-03-06,19200,183900.0,59100.0,62400.0,121500.0
2024-03-06,19250,204900.0,-96900.0,150900.0,54000.0
2024-03-06,19300,112400.0,23400.0,44500.0,67900.0
2024-03-06,19350,122700.0,84900.0,18900.0,103800.0
2024-03-06,19400,500.0,500.0,0.0,500.0
2024-03-07,19400,128700.0,-128700.0,128700.0,0.0
2024-03-07,19450,47600.0,28800.0,9400.0,38200.0
2024-03-07,19500,202700.0,23500.0,89600.0,113100.0
2024-03-07,19550,38500.0,18500.0,10000.0,28500.0
2024-03-07,19600,45600.0,19200.0,13200.0,32400.0
2024-03-07,19650,73700.0,73700.0,0.0,73700.0
2024-03-07,19700,27300.0,27100.0,100.0,27200.0
2024-03-07,19750,37600.0,37600.0,0.0,37600.0
2024-03-07,19800,85500.0,71500.0,7000.0,78500.0
2024-03-07,19850,86800.0,86800.0,0.0,86800.0
2024-03-07,19900,50700.0,50700.0,0.0,50700.0
2024-03-07,19950,9100.0,4700.0,2200.0,6900.0
2024-03-07,20000,262800.0,222200.0,20300.0,242500.0
2024-03-07,20050,12000.0,11600.0,200.0,11800.0
2024-03-07,20100,100000.0,100000.0,0.0,100000.0
2024-03-07,20150,8100.0,8100.0,0.0,8100.0
2024-03-07,20200,68400.0,68400.0,0.0,68400.0
2024-03-07,20250,44800.0,44800.0,0.0,44800.0
2024-03-07,20300,93600.0,93600.0,0.0,93600.0
2024-03-07,20350,105500.0,-43500.0,74500.0,31000.0
2024-03-07,20400,2775200.0,-1022600.0,1898900.0,876300.0
2024-03-08,20500,40000.0,-40000.0,40000.0,0.0
2024-03-08,20550,45600.0,-36600.0,41100.0,4500.0
2024-03-08,20600,161400.0,-4400.0,82900.0,78500.0
2024-03-08,20650,692500.0,-359700.0,526100.0,166400.0
2024-03-08,20700,620600.0,-213800.0,417200.0,203400.0
2024-03-08,20750,432000.0,-117000.0,274500.0,157500.0
2024-03-08,20800,709500.0,241300.0,234100.0,475400.0
2024-03-08,20850,250000.0,56800.0,96600.0,153400.0
2024-03-08,20900,487100.0,22100.0,232500.0,254600.0
2024-03-08,20950,422200.0,241000.0,90600.0,331600.0
2024-03-08,21000,838100.0,407700.0,215200.0,622900.0
2024-03-08,21050,161600.0,-43600.0,102600.0,59000.0
2024-03-08,21100,205400.0,88800.0,58300.0,147100.0
2024-03-08,21150,31800.0,24000.0,3900.0,27900.0
2024-03-08,21200,87800.0,59200.0,14300.0,73500.0
2024-03-08,21250,28500.0,28500.0,0.0,28500.0
2024-03-08,21300,53800.0,19600.0,17100.0,36700.0
2024-03-08,21350,13200.0,13200.0,0.0,13200.0
2024-03-11,20500,8200.0,-8200.0,8200.0,0.0
2024-03-11,20550,138900.0,20700.0,59100.0,79800.0
2024-03-11,20600,154300.0,-21900.0,88100.0,66200.0
2024-03-11,20650,109900.0,-47300.0,78600.0,31300.0
2024-03-11,20700,247300.0,-102700.0,175000.0,72300.0
2024-03-11,20750,321800.0,-2400.0,162100.0,159700.0
2024-03-11,20800,211600.0,-7200.0,109400.0,102200.0
2024-03-11,20850,97400.0,46000.0,25700.0,71700.0
2024-03-11,20900,122800.0,39800.0,41500.0,81300.0
2024-03-11,20950,69100.0,-7700.0,38400.0,30700.0
2024-03-11,21000,233000.0,56600.0,88200.0,144800.0
2024-03-11,21050,50500.0,-7700.0,29100.0,21400.0
2024-03-11,21100,123500.0,-15100.0,69300.0,54200.0
2024-03-11,21150,68200.0,24400.0,21900.0,46300.0
2024-03-11,21200,177000.0,-58200.0,117600.0,59400.0
2024-03-11,21250,71200.0,-13000.0,42100.0,29100.0
2024-03-11,21300,213800.0,-15200.0,114500.0,99300.0
2024-03-11,21350,189400.0,33800.0,77800.0,111600.0
2024-03-11,21400,114500.0,40300.0,37100.0,77400.0
2024-03-11,21450,76200.0,9200.0,33500.0,42700.0
2024-03-11,21500,101000.0,77800.0,11600.0,89400.0
2024-03-11,21550,27900.0,-10100.0,19000.0,8900.0
2024-03-11,21600,47700.0,47700.0,0.0,47700.0
2024-03-12,20500,34100.0,-34100.0,34100.0,0.0
2024-03-12,20550,55900.0,-30300.0,43100.0,12800.0
2024-03-12,20600,154800.0,-122200.0,138500.0,16300.0
2024-03-12,20650,178600.0,-84400.0,131500.0,47100.0
2024-03-12,20700,343300.0,-93900.0,218600.0,124700.0
2024-03-12,20750,405100.0,-150300.0,277700.0,127400.0
2024-03-12,20800,474000.0,-137600.0,305800.0,168200.0
2024-03-12,20850,266000.0,25400.0,120300.0,145700.0
2024-03-12,20900,167400.0,-64600.0,116000.0,51400.0
2024-03-12,20950,143600.0,-1200.0,72400.0,71200.0
2024-03-12,21000,226900.0,90900.0,68000.0,158900.0
2024-03-12,21050,62500.0,-27900.0,45200.0,17300.0
2024-03-12,21100,63900.0,13300.0,25300.0,38600.0
2024-03-12,21150,1300.0,-700.0,1000.0,300.0
2024-03-12,21200,75900.0,-10900.0,43400.0,32500.0
2024-03-12,21250,2400.0,2400.0,0.0,2400.0
2024-03-13,20700,42800.0,-32200.0,37500.0,5300.0
2024-03-13,20750,64000.0,-9000.0,36500.0,27500.0
2024-03-13,20800,55600.0,16600.0,19500.0,36100.0
2024-03-13,20850,36400.0,-7200.0,21800.0,14600.0
2024-03-13,20900,119100.0,900.0,59100.0,60000.0
2024-03-13,20950,64100.0,32700.0,15700.0,48400.0
2024-03-13,21000,185600.0,142000.0,21800.0,163800.0
2024-03-13,21050,108400.0,35800.0,36300.0,72100.0
2024-03-13,21100,79500.0,63900.0,7800.0,71700.0
2024-03-13,21150,34200.0,-17000.0,25600.0,8600.0
2024-03-13,21200,118000.0,75000.0,21500.0,96500.0
2024-03-13,21250,76900.0,-56500.0,66700.0,10200.0
2024-03-13,21300,204900.0,134900.0,35000.0,169900.0
2024-03-13,21350,120000.0,-40800.0,80400.0,39600.0
2024-03-13,21400,225500.0,51300.0,87100.0,138400.0
2024-03-13,21450,318800.0,30800.0,144000.0,174800.0
2024-03-13,21500,309800.0,19400.0,145200.0,164600.0
2024-03-13,21550,253400.0,36800.0,108300.0,145100.0
2024-03-13,21600,142400.0,55600.0,43400.0,99000.0
2024-03-13,21650,260800.0,13800.0,123500.0,137300.0
2024-03-13,21700,465800.0,57600.0,204100.0,261700.0
2024-03-13,21750,242000.0,51600.0,95200.0,146800.0
2024-03-13,21800,245300.0,101100.0,72100.0,173200.0
2024-03-13,21850,50500.0,13500.0,18500.0,32000.0
2024-03-13,21900,2200.0,2200.0,0.0,2200.0
2024-03-14,21100,28800.0,-28800.0,28800.0,0.0
2024-03-14,21150,58400.0,-6800.0,32600.0,25800.0
2024-03-14,21200,143900.0,-90700.0,117300.0,26600.0
2024-03-14,21250,101100.0,-44900.0,73000.0,28100.0
2024-03-14,21300,184100.0,-101900.0,143000.0,41100.0
2024-03-14,21350,245000.0,-141000.0,193000.0,52000.0
2024-03-14,21400,339900.0,-209700.0,274800.0,65100.0
2024-03-14,21450,215500.0,-57300.0,136400.0,79100.0
2024-03-14,21500,564400.0,-416400.0,490400.0,74000.0
2024-03-14,21550,444400.0,-249800.0,347100.0,97300.0
2024-03-14,21600,429100.0,64100.0,182500.0,246600.0
2024-03-14,21650,94900.0,-47500.0,71200.0,23700.0
2024-03-14,21700,172600.0,-47000.0,109800.0,62800.0
2024-03-14,21750,86000.0,-38600.0,62300.0,23700.0
2024-03-14,21800,321300.0,29500.0,145900.0,175400.0
2024-03-14,21850,126500.0,-44300.0,85400.0,41100.0
2024-03-14,21900,92800.0,12400.0,40200.0,52600.0
2024-03-14,21950,21800.0,19200.0,1300.0,20500.0
2024-03-14,22000,44900.0,44900.0,0.0,44900.0
2024-03-15,20700,127800.0,-127800.0,127800.0,0.0
2024-03-15,20750,343000.0,-177800.0,260400.0,82600.0
2024-03-15,20800,378300.0,31100.0,173600.0,204700.0
2024-03-15,20850,290000.0,-27000.0,158500.0,131500.0
2024-03-15,20900,84000.0,-9800.0,46900.0,37100.0
2024-03-15,20950,63500.0,-28700.0,46100.0,17400.0
2024-03-15,21000,199700.0,-82700.0,141200.0,58500.0
2024-03-15,21050,199100.0,-128700.0,163900.0,35200.0
2024-03-15,21100,363800.0,-178200.0,271000.0,92800.0
2024-03-15,21150,217100.0,-85500.0,151300.0,65800.0
2024-03-15,21200,156600.0,31800.0,62400.0,94200.0
2024-03-15,21250,136200.0,37600.0,49300.0,86900.0
2024-03-15,21300,39400.0,8800.0,15300.0,24100.0
2024-03-15,21350,176400.0,-98800.0,137600.0,38800.0
2024-03-15,21400,51800.0,17200.0,17300.0,34500.0
2024-03-15,21450,37900.0,27500.0,5200.0,32700.0
2024-03-15,21500,6100.0,6100.0,0.0,6100.0
2024-03-18,20000,2883200.0,314800.0,1284200.0,1599000.0
2024-03-18,20050,505900.0,-64900.0,285400.0,220500.0
2024-03-18,20100,375500.0,8500.0,183500.0,192000.0
2024-03-18,20150,187600.0,26000.0,80800.0,106800.0
2024-03-18,20200,235400.0,51400.0,92000.0,143400.0
2024-03-18,20250,219800.0,-21800.0,120800.0,99000.0
2024-03-18,20300,313600.0,30200.0,141700.0,171900.0
2024-03-18,20350,160300.0,79100.0,40600.0,119700.0
2024-03-18,20400,113700.0,17700.0,48000.0,65700.0
2024-03-18,20450,57200.0,9800.0,23700.0,33500.0
2024-03-18,20500,155700.0,2900.0,76400.0,79300.0
2024-03-18,20550,32800.0,-5800.0,19300.0,13500.0
2024-03-18,20600,88100.0,-23100.0,55600.0,32500.0
2024-03-18,20650,5000.0,-1000.0,3000.0,2000.0
2024-03-18,20700,52900.0,-47300.0,50100.0,2800.0
2024-03-18,20750,10200.0,-4800.0,7500.0,2700.0
2024-03-18,20800,58300.0,-58300.0,58300.0,0.0
2024-03-18,20850,19300.0,19300.0,0.0,19300.0
2024-03-18,20900,81200.0,-73800.0,77500.0,3700.0
2024-03-18,20950,115200.0,6600.0,54300.0,60900.0
2024-03-18,21000,215400.0,-166600.0,191000.0,24400.0
2024-03-18,21050,89700.0,-83500.0,86600.0,3100.0
2024-03-18,21100,107900.0,-44500.0,76200.0,31700.0
2024-03-18,21150,25700.0,-13300.0,19500.0,6200.0
2024-03-18,21200,44600.0,-23600.0,34100.0,10500.0
2024-03-18,21250,78300.0,-43500.0,60900.0,17400.0
2024-03-18,21300,60200.0,-1400.0,30800.0,29400.0
2024-03-18,21350,51200.0,-46000.0,48600.0,2600.0
2024-03-18,21400,78800.0,28000.0,25400.0,53400.0
2024-03-18,21450,9200.0,8400.0,400.0,8800.0
2024-03-18,21500,122100.0,-116500.0,119300.0,2800.0
2024-03-18,21550,24700.0,-24700.0,24700.0,0.0
2024-03-18,21600,30200.0,30200.0,0.0,30200.0
2024-03-18,21650,1400.0,1400.0,0.0,1400.0
2024-03-19,19900,12100.0,-12100.0,12100.0,0.0
2024-03-19,19950,32600.0,-3000.0,17800.0,14800.0
2024-03-19,20000,172400.0,123800.0,24300.0,148100.0
2024-03-19,20050,14500.0,-13700.0,14100.0,400.0
2024-03-19,20100,58600.0,-51600.0,55100.0,3500.0
2024-03-19,20150,119500.0,-25300.0,72400.0,47100.0
2024-03-19,20200,215100.0,-20700.0,117900.0,97200.0
2024-03-19,20250,205000.0,-127000.0,166000.0,39000.0
2024-03-19,20300,360000.0,-91600.0,225800.0,134200.0
2024-03-19,20350,220000.0,103600.0,58200.0,161800.0
2024-03-19,20400,287800.0,136200.0,75800.0,212000.0
2024-03-19,20450,268000.0,67000.0,100500.0,167500.0
2024-03-19,20500,67100.0,67100.0,0.0,67100.0
2024-03-20,20100,53900.0,-47900.0,50900.0,3000.0
2024-03-20,20150,56200.0,-5600.0,30900.0,25300.0
2024-03-20,20200,39000.0,-34600.0,36800.0,2200.0
2024-03-20,20250,64700.0,-39300.0,52000.0,12700.0
2024-03-20,20300,176700.0,96100.0,40300.0,136400.0
2024-03-20,20350,64300.0,30500.0,16900.0,47400.0
2024-03-20,20400,139500.0,-9100.0,74300.0,65200.0
2024-03-20,20450,66000.0,38000.0,14000.0,52000.0
2024-03-20,20500,224800.0,-40200.0,132500.0,92300.0
2024-03-20,20550,342500.0,-61100.0,201800.0,140700.0
2024-03-20,20600,295900.0,121900.0,87000.0,208900.0
2024-03-20,20650,87500.0,86900.0,300.0,87200.0
2024-03-20,20700,75700.0,-23900.0,49800.0,25900.0
2024-03-20,20750,58000.0,21800.0,18100.0,39900.0
2024-03-20,20800,70300.0,17100.0,26600.0,43700.0
2024-03-20,20850,56900.0,34100.0,11400.0,45500.0
2024-03-20,20900,200.0,200.0,0.0,200.0
2024-03-21,20550,68600.0,-68600.0,68600.0,0.0
2024-03-21,20600,258900.0,-61900.0,160400.0,98500.0
2024-03-21,20650,152600.0,-110000.0,131300.0,21300.0
2024-03-21,20700,243700.0,-19300.0,131500.0,112200.0
2024-03-21,20750,243600.0,-41600.0,142600.0,101000.0
2024-03-21,20800,293000.0,-48000.0,170500.0,122500.0
2024-03-21,20850,98200.0,-17800.0,58000.0,40200.0
2024-03-21,20900,64900.0,-38300.0,51600.0,13300.0
2024-03-21,20950,174400.0,-76600.0,125500.0,48900.0
2024-03-21,21000,189000.0,-800.0,94900.0,94100.0
2024-03-21,21050,209000.0,-84400.0,146700.0,62300.0
2024-03-21,21100,181000.0,-24400.0,102700.0,78300.0
2024-03-21,21150,89600.0,-6800.0,48200.0,41400.0
2024-03-21,21200,189600.0,-101600.0,145600.0,44000.0
2024-03-21,21250,146700.0,45700.0,50500.0,96200.0
2024-03-21,21300,76000.0,76000.0,0.0,76000.0
2024-03-21,21350,130100.0,-127700.0,128900.0,1200.0
2024-03-21,21400,46700.0,30500.0,8100.0,38600.0
2024-03-21,21450,14100.0,14100.0,0.0,14100.0
2024-03-21,21500,22400.0,22400.0,0.0,22400.0
2024-03-22,20750,51900.0,-50900.0,51400.0,500.0
2024-03-22,20800,158100.0,-66500.0,112300.0,45800.0
2024-03-22,20850,176500.0,20100.0,78200.0,98300.0
2024-03-22,20900,229200.0,132200.0,48500.0,180700.0
2024-03-22,20950,76400.0,-19800.0,48100.0,28300.0
2024-03-22,21000,393400.0,-48600.0,221000.0,172400.0
2024-03-22,21050,126800.0,-32400.0,79600.0,47200.0
2024-03-22,21100,230500.0,-48900.0,139700.0,90800.0
2024-03-22,21150,163300.0,700.0,81300.0,82000.0
2024-03-22,21200,418600.0,31600.0,193500.0,225100.0
2024-03-22,21250,387300.0,-38300.0,212800.0,174500.0
2024-03-22,21300,301800.0,159000.0,71400.0,230400.0
2024-03-22,21350,180100.0,-44300.0,112200.0,67900.0
2024-03-22,21400,318100.0,143300.0,87400.0,230700.0
2024-03-22,21450,239700.0,-10300.0,125000.0,114700.0
2024-03-22,21500,197900.0,197900.0,0.0,197900.0
2024-03-25,20650,50000.0,-50000.0,50000.0,0.0
2024-03-25,20700,187300.0,14500.0,86400.0,100900.0
2024-03-25,20750,119100.0,-94700.0,106900.0,12200.0
2024-03-25,20800,126600.0,-80400.0,103500.0,23100.0
2024-03-25,20850,249800.0,-146200.0,198000.0,51800.0
2024-03-25,20900,152300.0,-97300.0,124800.0,27500.0
2024-03-25,20950,120200.0,-69000.0,94600.0,25600.0
2024-03-25,21000,152100.0,2300.0,74900.0,77200.0
2024-03-25,21050,21200.0,-12200.0,16700.0,4500.0
2024-03-25,21100,197900.0,-196500.0,197200.0,700.0
2024-03-25,21150,153000.0,-30000.0,91500.0,61500.0
2024-03-25,21200,130300.0,-41700.0,86000.0,44300.0
2024-03-25,21250,154900.0,59300.0,47800.0,107100.0
2024-03-25,21300,55300.0,-22700.0,39000.0,16300.0
2024-03-25,21350,16800.0,16800.0,0.0,16800.0
2024-03-26,20400,25600.0,-25600.0,25600.0,0.0
2024-03-26,20450,14600.0,-12400.0,13500.0,1100.0
2024-03-26,20500,44600.0,10800.0,16900.0,27700.0
2024-03-26,20550,63500.0,-55500.0,59500.0,4000.0
2024-03-26,20600,47600.0,-18600.0,33100.0,14500.0
2024-03-26,20650,30500.0,6100.0,12200.0,18300.0
2024-03-26,20700,113200.0,27200.0,43000.0,70200.0
2024-03-26,20750,47300.0,3900.0,21700.0,25600.0
2024-03-26,20800,208800.0,-31200.0,120000.0,88800.0
2024-03-26,20850,164900.0,90300.0,37300.0,127600.0
2024-03-26,20900,21300.0,16700.0,2300.0,19000.0
2024-03-26,20950,20400.0,3800.0,8300.0,12100.0
2024-03-26,21000,183500.0,-15100.0,99300.0,84200.0
